
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
|  sms  |   LATIN    |      3,985 | Skolt Sami                                                 |     None    |     GAP (ByT5)     |
|  nso  |   LATIN    |      3,912 | Pedi                                                       |     None    |     GAP (ByT5)     |
|  smo  |   LATIN    |      3,909 | Samoan                                                     |     None    |     GAP (ByT5)     |
|  kin  |   LATIN    |      3,879 | Kinyarwanda                                                |   kin-Latn  |      EPITRAN       |
|  kas  |   ARABIC   |      3,728 | Kashmiri                                                   |     None    |     GAP (ByT5)     |
|  kik  |   LATIN    |      3,705 | Kikuyu                                                     |     None    |     GAP (ByT5)     |
|  smj  |   LATIN    |      3,673 | Lule Sami                                                  |     None    |     GAP (ByT5)     |
|  nav  |   LATIN    |      3,661 | Navajo                                                     |     None    |     GAP (ByT5)     |
|  lzh  |    CJK     |      3,519 | Literary Chinese                                           |     None    |     GAP (ByT5)     |
|  san  | DEVANAGARI |      3,482 | Sanskrit                                                   |     None    |     GAP (ByT5)     |
|  pfl  |   LATIN    |      3,415 | Pfaelzisch                                                 |     None    |     GAP (ByT5)     |
|  nau  |   LATIN    |      3,387 | Nauru                                                      |     None    |     GAP (ByT5)     |
|  snd  |   ARABIC   |      3,358 | Sindhi                                                     |     None    |     GAP (ByT5)     |
|  hif  |   LATIN    |      3,304 | Fiji Hindi                                                 |     None    |     GAP (ByT5)     |
|  rue  |  CYRILLIC  |      3,223 | Rusyn                                                      |     None    |     GAP (ByT5)     |
|  csb  |   LATIN    |      3,207 | Kashubian                                                  |   csb-Latn  |      EPITRAN       |
|  cbk  |   LATIN    |      3,151 | Chavacano                                                  |     None    |     GAP (ByT5)     |
|  sah  |  CYRILLIC  |      3,129 | Yakut                                                      |     None    |     GAP (ByT5)     |
|  ext  |   LATIN    |      3,064 | Extremaduran                                               |     None    |     GAP (ByT5)     |
|  avk  |   LATIN    |      3,047 | Kotava                                                     |     None    |     GAP (ByT5)     |
|  lug  |   LATIN    |      3,040 | Ganda                                                      |   lug-Latn  |      EPITRAN       |
|  sma  |   LATIN    |      3,040 | Southern Sami                                              |     None    |     GAP (ByT5)     |
|  tpi  |   LATIN    |      3,036 | Tok Pisin                                                  |   tpi-Latn  |      EPITRAN       |
|  mwl  |   LATIN    |      3,031 | Mirandese                                                  |     None    |     GAP (ByT5)     |
|  xho  |   LATIN    |      3,031 | Xhosa                                                      |   xho-Latn  |      EPITRAN       |
|  ksh  |   LATIN    |      2,950 | Kölsch                                                     |     None    |     GAP (ByT5)     |
|  uig  |   LATIN    |      2,943 | Uighur                                                     |     None    |     GAP (ByT5)     |
|  stq  |   LATIN    |      2,848 | Saterfriesisch                                             |     None    |     GAP (ByT5)     |
|  vro  |   LATIN    |      2,839 | Võro                                                       |     None    |     GAP (ByT5)     |
|  mrj  |  CYRILLIC  |      2,827 | Western Mari                                               |     None    |     GAP (ByT5)     |
|  tat  |   LATIN    |      2,810 | Tatar                                                      |     None    |     GAP (ByT5)     |
|  olo  |   LATIN    |      2,809 | Livvi                                                      |     None    |     GAP (ByT5)     |
|  amh  |   OTHER    |      2,779 | Amharic                                                    |     None    |     GAP (ByT5)     |
|  tuk  |   LATIN    |      2,726 | Turkmen                                                    |   tuk-Latn  |      EPITRAN       |
|  fkv  |   LATIN    |      2,602 | Kven Finnish                                               |     None    |     GAP (ByT5)     |
|  udm  |  CYRILLIC  |      2,585 | Udmurt                                                     |     None    |     GAP (ByT5)     |
|  grn  |   LATIN    |      2,575 | Guarani                                                    |     None    |     GAP (ByT5)     |
|  orm  |   LATIN    |      2,532 | Oromo                                                      |   orm-Latn  |      EPITRAN       |
|  ewe  |   LATIN    |      2,486 | Ewe                                                        |     None    |     GAP (ByT5)     |
|  pag  |   LATIN    |      2,441 | Pangasinan                                                 |     None    |     GAP (ByT5)     |
|  nya  |   LATIN    |      2,425 | Nyanja                                                     |   nya-Latn  |      EPITRAN       |
|  krj  |   LATIN    |      2,407 | Kinaray-A                                                  |     None    |     GAP (ByT5)     |
|  bbc  |   LATIN    |      2,349 | Batak Toba                                                 |     None    |     GAP (ByT5)     |
|  asm  |  BENGALI   |      2,302 | Assamese                                                   |     None    |     GAP (ByT5)     |
|  lin  |   LATIN    |      2,268 | Lingala                                                    |     None    |     GAP (ByT5)     |
|  twi  |   LATIN    |      2,203 | Twi                                                        |     None    |     GAP (ByT5)     |
|  nov  |   LATIN    |      2,146 | Novial                                                     |     None    |     GAP (ByT5)     |
|  hmo  |   LATIN    |      2,114 | Hiri Motu                                                  |     None    |     GAP (ByT5)     |
|  fra  |   OTHER    |      2,064 | French                                                     |     None    |     GAP (ByT5)     |
|  kor  |    CJK     |      2,060 | Korean                                                     |     None    |     GAP (ByT5)     |
|  fra  |    CJK     |      2,044 | French                                                     |     None    |     GAP (ByT5)     |
|  pdc  |   LATIN    |      2,004 | Pennsylvania German                                        |     None    |     GAP (ByT5)     |
