
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
|  kur  |   ARABIC   |     11,018 | Kurdish                                                    |   kur-Arab  |    EPITRAN-EXT     |
|  khm  |   OTHER    |     10,202 | Khmer                                                      |   khm-Khmr  |    EPITRAN-EXT     |
|  mlt  |   LATIN    |      8,741 | Maltese                                                    |   mlt-Latn  |      EPITRAN       |
|  tah  |   LATIN    |      8,321 | Tahitian                                                   |     None    |     SYMPHONYM      |
|  ceb  |  CYRILLIC  |      8,299 | Cebuano                                                    |     None    |     SYMPHONYM      |
|  bod  |   LATIN    |      8,299 | Tibetan                                                    |     None    |     SYMPHONYM      |
|  rup  |   LATIN    |      8,274 | Macedo-Romanian                                            |     None    |     SYMPHONYM      |
|  smn  |   LATIN    |      8,018 | Inari Sami                                                 |     None    |     SYMPHONYM      |
|  ang  |   LATIN    |      7,947 | Old English (ca. 450-1100)                                 |     None    |     SYMPHONYM      |
|  ori  |   OTHER    |      7,646 | Oriya (macrolanguage)                                      |     None    |     UNHANDLED      |
|  cor  |   LATIN    |      7,642 | Cornish                                                    |     None    |     SYMPHONYM      |
|  mul  |    CJK     |      7,576 | Multiple languages                                         |     None    |     UNHANDLED      |
|  pus  |   ARABIC   |      7,319 | Pushto                                                     |     None    |     SYMPHONYM      |
|  xmf  |  GEORGIAN  |      7,047 | Mingrelian                                                 |     None    |     SYMPHONYM      |
|  pam  |   LATIN    |      6,654 | Pampanga                                                   |     None    |     SYMPHONYM      |
|  mon  |  CYRILLIC  |      6,381 | Mongolian                                                  |     None    |     SYMPHONYM      |
|  yid  |   HEBREW   |      6,253 | Yiddish                                                    |     None    |     UNHANDLED      |
|  shn  |   OTHER    |      6,216 | Shan                                                       |     None    |     UNHANDLED      |
|  bcl  |   LATIN    |      5,953 | Central Bikol                                              |     None    |     SYMPHONYM      |
|  uig  |   ARABIC   |      5,812 | Uighur                                                     |   uig-Arab  |      EPITRAN       |
|  zea  |   LATIN    |      5,699 | Zeeuws                                                     |     None    |     SYMPHONYM      |
|  ilo  |   LATIN    |      5,682 | Iloko                                                      |   ilo-Latn  |      EPITRAN       |
|  dag  |   LATIN    |      5,625 | Dagbani                                                    |     None    |     SYMPHONYM      |
|  hak  |   LATIN    |      5,559 | Hakka Chinese                                              |   hak-Latn  |      EPITRAN       |
|  mai  | DEVANAGARI |      5,317 | Maithili                                                   |     None    |     SYMPHONYM      |
|  hbs  |  CYRILLIC  |      5,266 | Serbo-Croatian                                             |     None    |     SYMPHONYM      |
|  bho  | DEVANAGARI |      5,143 | Bhojpuri                                                   |   bho-Deva  |      EPITRAN       |
|  mdf  |  CYRILLIC  |      5,083 | Moksha                                                     |     None    |     SYMPHONYM      |
|  kaa  |   LATIN    |      5,051 | Kara-Kalpak                                                |     None    |     SYMPHONYM      |
|  dsb  |   LATIN    |      5,030 | Lower Sorbian                                              |     None    |     SYMPHONYM      |
|  tum  |   LATIN    |      4,947 | Tumbuka                                                    |     None    |     SYMPHONYM      |
|  haw  |   LATIN    |      4,813 | Hawaiian                                                   |     None    |     SYMPHONYM      |
|  glv  |   LATIN    |      4,812 | Manx                                                       |     None    |     SYMPHONYM      |
|  smj  |   LATIN    |      4,618 | Lule Sami                                                  |     None    |     SYMPHONYM      |
|  cdo  |   LATIN    |      4,544 | Min Dong Chinese                                           |     None    |     SYMPHONYM      |
|  vep  |   LATIN    |      4,424 | Veps                                                       |     None    |     SYMPHONYM      |
|  mhr  |  CYRILLIC  |      4,396 | Eastern Mari                                               |     None    |     SYMPHONYM      |
|  gpe  |   LATIN    |      4,366 | Ghanaian Pidgin English                                    |     None    |     SYMPHONYM      |
|  aym  |   LATIN    |      4,293 | Aymara                                                     |     None    |     SYMPHONYM      |
|  lad  |   LATIN    |      4,274 | Ladino                                                     |     None    |     SYMPHONYM      |
|  ful  |   LATIN    |      4,253 | Fulah                                                      |   ful-Latn  |      EPITRAN       |
|  tet  |   LATIN    |      4,251 | Tetum                                                      |     None    |     SYMPHONYM      |
|  hyw  |  ARMENIAN  |      4,242 | Western Armenian                                           |     None    |     UNHANDLED      |
|  ary  |   ARABIC   |      4,241 | Moroccan Arabic                                            |     None    |     SYMPHONYM      |
|  tuk  |   LATIN    |      4,223 | Turkmen                                                    |   tuk-Latn  |      EPITRAN       |
|  kas  |   ARABIC   |      4,218 | Kashmiri                                                   |     None    |     SYMPHONYM      |
|  lzh  |    CJK     |      4,186 | Literary Chinese                                           |     None    |     UNHANDLED      |
|  myv  |  CYRILLIC  |      4,112 | Erzya                                                      |     None    |     SYMPHONYM      |
|  tly  |   LATIN    |      4,106 | Talysh                                                     |     None    |     SYMPHONYM      |
|  sms  |   LATIN    |      4,000 | Skolt Sami                                                 |     None    |     SYMPHONYM      |
|  smo  |   LATIN    |      3,935 | Samoan                                                     |     None    |     SYMPHONYM      |
|  sma  |   LATIN    |      3,932 | Southern Sami                                              |     None    |     SYMPHONYM      |
|  nso  |   LATIN    |      3,919 | Pedi                                                       |     None    |     SYMPHONYM      |
|  kin  |   LATIN    |      3,898 | Kinyarwanda                                                |   kin-Latn  |      EPITRAN       |
|  nav  |   LATIN    |      3,804 | Navajo                                                     |     None    |     SYMPHONYM      |
|  snd  |   ARABIC   |      3,719 | Sindhi                                                     |     None    |     SYMPHONYM      |
|  kik  |   LATIN    |      3,711 | Kikuyu                                                     |     None    |     SYMPHONYM      |
|  pfl  |   LATIN    |      3,614 | Pfaelzisch                                                 |     None    |     SYMPHONYM      |
|  csb  |   LATIN    |      3,530 | Kashubian                                                  |   csb-Latn  |      EPITRAN       |
|  san  | DEVANAGARI |      3,516 | Sanskrit                                                   |     None    |     SYMPHONYM      |
|  vro  |   LATIN    |      3,502 | Võro                                                       |     None    |     SYMPHONYM      |
|  grc  |   GREEK    |      3,492 | Ancient Greek (to 1453)                                    |     None    |     UNHANDLED      |
|  nau  |   LATIN    |      3,395 | Nauru                                                      |     None    |     SYMPHONYM      |
|  hif  |   LATIN    |      3,311 | Fiji Hindi                                                 |     None    |     SYMPHONYM      |
|  rue  |  CYRILLIC  |      3,285 | Rusyn                                                      |     None    |     SYMPHONYM      |
|  ksh  |   LATIN    |      3,187 | Kölsch                                                     |     None    |     SYMPHONYM      |
|  cbk  |   LATIN    |      3,160 | Chavacano                                                  |     None    |     SYMPHONYM      |
|  sah  |  CYRILLIC  |      3,156 | Yakut                                                      |     None    |     SYMPHONYM      |
|  amh  |   OTHER    |      3,127 | Amharic                                                    |     None    |     UNHANDLED      |
|  mwl  |   LATIN    |      3,123 | Mirandese                                                  |     None    |     SYMPHONYM      |
|  ext  |   LATIN    |      3,081 | Extremaduran                                               |     None    |     SYMPHONYM      |
|  xho  |   LATIN    |      3,057 | Xhosa                                                      |   xho-Latn  |      EPITRAN       |
|  avk  |   LATIN    |      3,048 | Kotava                                                     |     None    |     SYMPHONYM      |
|  tpi  |   LATIN    |      3,045 | Tok Pisin                                                  |   tpi-Latn  |      EPITRAN       |
|  lug  |   LATIN    |      3,044 | Ganda                                                      |   lug-Latn  |      EPITRAN       |
|  uig  |   LATIN    |      2,954 | Uighur                                                     |     None    |     SYMPHONYM      |
|  mrj  |  CYRILLIC  |      2,897 | Western Mari                                               |     None    |     SYMPHONYM      |
|  stq  |   LATIN    |      2,867 | Saterfriesisch                                             |     None    |     SYMPHONYM      |
|  mon  |   OTHER    |      2,856 | Mongolian                                                  |     None    |     UNHANDLED      |
|  tat  |   LATIN    |      2,845 | Tatar                                                      |     None    |     SYMPHONYM      |
|  zho  |   OTHER    |      2,830 | Chinese                                                    |     None    |     UNHANDLED      |
|  olo  |   LATIN    |      2,811 | Livvi                                                      |     None    |     SYMPHONYM      |
|  fkv  |   LATIN    |      2,771 | Kven Finnish                                               |     None    |     SYMPHONYM      |
|  udm  |  CYRILLIC  |      2,759 | Udmurt                                                     |     None    |     SYMPHONYM      |
|  grn  |   LATIN    |      2,629 | Guarani                                                    |     None    |     SYMPHONYM      |
|  orm  |   LATIN    |      2,552 | Oromo                                                      |   orm-Latn  |      EPITRAN       |
|  msa  |   ARABIC   |      2,507 | Malay (macrolanguage)                                      |     None    |     SYMPHONYM      |
|  ewe  |   LATIN    |      2,504 | Ewe                                                        |     None    |     SYMPHONYM      |
|  pag  |   LATIN    |      2,453 | Pangasinan                                                 |     None    |     SYMPHONYM      |
|  nya  |   LATIN    |      2,427 | Nyanja                                                     |   nya-Latn  |      EPITRAN       |
|  nan  |    CJK     |      2,412 | Min Nan Chinese                                            |     None    |     UNHANDLED      |
|  krj  |   LATIN    |      2,412 | Kinaray-A                                                  |     None    |     SYMPHONYM      |
|  bbc  |   LATIN    |      2,350 | Batak Toba                                                 |     None    |     SYMPHONYM      |
